-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 12/31/2022 
Location: Latitude  -54.8107   Longitude -68.3147 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 268.93 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT     CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                 MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                     MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE              MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
WS2M_RANGE             MERRA-2 Wind Speed at 2 Meters Range (m/s) 
WD2M                   MERRA-2 Wind Direction at 2 Meters (Degrees) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE,WD2M
2021,1,59.94,171.83,11.77,8.47,10.12,11.42,6.28,14.9,8.62,7.2,80.31,1.26,96.1,5.19,7.13,2.09,5.05,309.56
2021,2,116.66,171.41,9.54,3.92,6.73,9.94,6.98,12.67,5.68,5.25,68.88,0.19,95.69,8.02,10.12,3.91,6.2,290.12
2021,3,114.19,171.79,6.51,2.3,4.4,7.62,5.15,9.02,3.87,4.64,75.19,1.76,96.63,5.41,6.98,3.82,3.16,273.0
2021,4,92.84,170.17,6.67,2.87,4.77,7.32,6.82,10.16,3.33,4.82,77.25,1.92,97.6,5.7,7.3,3.93,3.37,285.5
2021,5,108.02,170.68,9.35,4.98,7.16,9.62,7.76,12.9,5.15,5.55,75.12,0.18,97.72,4.58,6.22,1.74,4.48,298.25
2021,6,78.01,169.05,9.36,6.72,8.04,9.23,6.48,12.54,6.06,6.35,84.19,1.02,96.9,3.27,5.56,1.1,4.46,318.75
2021,7,108.91,170.47,8.56,4.15,6.36,9.17,8.06,12.43,4.37,5.31,74.75,0.85,96.5,4.38,6.33,1.88,4.45,292.75
2021,8,109.77,168.52,8.66,4.01,6.34,9.31,6.36,11.79,5.43,5.31,74.0,1.23,96.23,4.97,6.77,2.95,3.81,309.62
2021,9,118.98,166.16,8.12,3.21,5.66,8.76,5.76,10.73,4.97,5.07,73.06,1.19,95.35,2.91,5.98,1.49,4.49,209.31
2021,10,55.5,166.94,4.69,3.17,3.93,5.86,4.04,6.35,2.31,5.07,89.75,5.24,95.32,5.16,7.1,1.69,5.41,172.19
2021,11,86.24,165.66,4.46,1.19,2.83,5.71,3.91,6.18,2.28,4.33,79.94,2.67,96.18,5.0,6.28,2.95,3.34,268.75
2021,12,129.86,165.24,5.65,1.13,3.39,7.48,6.82,9.3,2.48,4.27,74.56,1.19,97.23,4.77,6.23,2.41,3.83,226.5
