-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 12/31/2021 
Location: Latitude  -54.8093   Longitude -68.3337 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 268.93 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT     CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2M_RANGE              MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
WS2M_RANGE             MERRA-2 Wind Speed at 2 Meters Range (m/s) 
WD2M                   MERRA-2 Wind Direction at 2 Meters (Degrees) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,T2M,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE,WD2M
2020,1,115.77,171.61,12.17,10.34,16.3,5.96,6.96,77.44,0.56,97.36,4.52,5.49,3.09,2.4,325.81
2020,2,128.66,171.33,10.31,9.12,13.19,4.07,5.86,72.75,1.56,97.0,4.28,5.84,2.56,3.27,274.94
2020,3,112.27,170.8,7.32,8.07,11.42,3.35,4.7,72.69,0.43,97.37,2.5,3.42,1.23,2.2,248.12
2020,4,128.3,170.4,8.08,7.73,11.55,3.82,4.64,68.5,0.3,97.2,2.06,3.38,0.97,2.4,242.0
2020,5,98.76,169.4,8.0,7.99,11.32,3.33,5.68,81.88,1.6,96.28,4.3,5.8,2.55,3.24,244.12
2020,6,74.09,163.38,8.77,9.45,12.27,2.83,5.86,78.5,1.59,95.9,3.77,5.84,1.57,4.27,328.31
2020,7,71.41,161.76,10.25,8.06,13.39,5.33,7.14,87.44,15.4,94.96,3.16,4.62,1.86,2.77,291.88
2020,8,96.95,163.2,5.38,2.27,6.54,4.27,5.43,92.44,12.68,94.77,4.47,7.24,1.27,5.98,228.69
2020,9,89.05,161.81,4.97,3.73,6.96,3.23,5.0,88.25,7.04,95.44,8.73,10.57,5.3,5.27,232.44
2020,10,81.44,159.32,8.36,10.48,13.13,2.65,5.55,77.94,1.87,95.93,2.52,4.69,1.31,3.38,299.0
2020,11,97.77,160.38,8.19,5.03,10.3,5.27,5.92,85.0,3.04,96.62,4.21,6.47,1.62,4.84,280.12
2020,12,100.67,160.53,9.62,4.18,11.48,7.3,6.29,82.44,0.97,97.03,4.33,7.34,1.06,6.28,287.19
2020,13,56.92,161.69,10.23,5.74,12.56,6.83,6.84,85.56,4.6,96.64,2.26,3.98,1.33,2.66,277.0
2020,14,77.18,163.08,6.51,5.1,8.61,3.51,5.37,85.56,3.36,96.03,3.15,5.3,1.32,3.98,224.12
2020,15,94.62,162.74,4.92,3.87,6.92,3.05,4.88,86.62,9.27,96.3,7.82,9.98,5.05,4.94,239.81
2020,16,79.16,146.64,7.33,6.04,9.83,3.8,5.49,83.0,4.58,97.01,5.06,7.34,2.91,4.43,263.31
2020,17,89.55,154.38,8.64,5.77,11.3,5.52,5.98,82.56,5.74,96.1,6.4,9.19,3.25,5.95,269.81
2020,18,104.33,159.2,8.91,6.3,11.9,5.6,5.86,79.44,1.37,96.21,7.27,9.09,4.91,4.19,274.81
2020,19,102.23,159.62,7.86,4.56,10.21,5.65,5.25,77.12,1.53,96.25,7.69,10.01,3.91,6.09,264.31
2020,20,105.73,157.05,8.26,5.84,11.23,5.38,5.49,78.62,1.31,97.05,4.92,8.45,0.54,7.91,262.12
2020,21,121.57,155.6,8.51,5.93,11.15,5.22,5.13,73.38,0.39,97.28,6.02,7.94,2.9,5.04,269.25
2020,22,102.1,153.45,7.56,7.34,10.77,3.43,4.88,75.0,0.24,97.55,3.0,4.47,1.36,3.11,304.0
2020,23,85.21,153.06,7.23,6.27,10.53,4.26,5.55,84.44,3.33,96.21,3.59,4.91,2.09,2.82,237.69
2020,24,102.85,151.68,7.45,8.02,10.98,2.95,5.07,76.56,0.3,96.19,2.25,3.91,1.34,2.57,278.88
2020,25,81.58,150.95,7.79,7.08,11.08,4.0,5.37,78.88,2.77,96.07,6.02,7.68,1.98,5.7,303.81
2020,26,99.9,149.04,7.76,5.49,10.56,5.07,5.49,81.31,1.86,96.88,5.59,7.07,3.59,3.48,259.94
2020,27,71.02,145.19,8.6,6.25,11.38,5.14,5.98,82.75,2.43,96.07,5.25,8.08,1.95,6.14,322.5
2020,28,94.68,149.77,5.61,4.9,8.33,3.44,4.76,80.88,3.42,95.81,6.34,9.06,1.98,7.09,262.38
2020,29,77.02,147.39,6.35,6.2,9.76,3.56,5.13,83.0,6.34,95.96,6.77,8.41,4.51,3.91,289.56
2020,30,90.8,147.45,8.13,4.4,10.12,5.73,5.68,80.69,1.78,95.28,8.45,10.8,6.34,4.45,265.25
2020,31,64.64,145.63,9.07,6.77,12.76,5.99,5.98,80.38,1.84,96.37,4.62,6.51,2.83,3.68,308.75
2020,32,68.96,145.3,9.65,6.82,13.2,6.38,6.41,82.25,1.95,95.48,3.69,5.75,1.54,4.21,286.25
2020,33,93.63,141.59,8.94,6.78,12.31,5.53,5.74,78.31,2.78,96.05,3.22,5.05,1.35,3.69,254.88
2020,34,90.33,144.41,9.74,5.5,12.28,6.77,6.59,83.94,3.36,95.5,2.47,4.3,0.55,3.74,190.12
2020,35,93.51,141.99,6.28,6.16,9.55,3.4,5.43,87.62,4.15,96.51,5.17,7.69,1.39,6.3,239.94
2020,36,115.52,139.52,5.53,5.33,8.44,3.12,4.39,77.25,0.57,98.51,4.09,5.46,1.58,3.88,226.81
2020,37,131.75,139.31,8.76,10.71,13.33,2.62,5.0,71.19,0.0,99.26,1.57,2.77,0.3,2.47,226.0
2020,38,113.5,137.72,11.76,9.7,16.63,6.93,5.98,70.31,0.0,98.94,1.18,1.67,0.87,0.8,223.88
2020,39,130.23,136.7,13.77,9.43,18.35,8.92,6.1,63.56,0.0,99.05,1.63,3.74,0.55,3.19,165.62
2020,40,87.88,134.6,12.33,9.45,17.05,7.6,6.77,75.81,0.58,98.28,4.05,5.82,0.98,4.84,342.25
2020,41,94.67,132.24,10.37,7.37,14.0,6.63,6.04,76.56,0.12,98.15,2.12,3.48,0.12,3.36,224.19
2020,42,41.54,127.43,10.05,6.75,12.99,6.25,6.59,83.62,0.39,96.97,4.52,7.13,2.46,4.67,217.06
2020,43,105.25,132.77,8.03,6.1,11.14,5.03,5.13,74.94,0.38,96.66,3.59,4.99,1.69,3.31,273.5
2020,44,61.34,130.77,9.16,7.67,12.65,4.98,6.53,86.88,76.47,96.1,4.98,6.52,3.1,3.42,264.88
2020,45,85.19,130.7,9.3,5.79,12.02,6.23,6.1,79.88,71.45,95.14,4.05,6.08,2.5,3.57,281.44
2020,46,52.65,126.11,6.64,4.93,8.69,3.75,5.8,89.56,6.07,94.62,3.97,6.52,1.27,5.25,146.25
2020,47,91.06,126.73,5.7,4.2,7.98,3.78,5.07,85.06,1.64,95.52,3.89,6.3,2.17,4.13,262.81
2020,48,55.7,124.8,6.14,6.24,8.51,2.27,5.31,86.88,1.73,95.9,5.83,9.4,2.41,6.99,254.25
2020,49,72.32,125.93,8.33,4.04,10.6,6.56,6.47,89.44,6.28,94.79,6.27,7.15,4.63,2.52,287.38
2020,50,72.02,123.29,7.05,3.62,9.23,5.6,5.86,90.94,5.57,97.22,6.72,8.39,3.62,4.77,223.94
2020,51,94.38,119.39,8.87,7.73,13.19,5.45,5.86,82.06,1.46,98.81,3.29,4.39,2.14,2.26,270.69
2020,52,77.85,117.98,12.23,5.13,14.52,9.38,7.69,85.5,0.41,98.49,5.62,6.66,4.12,2.55,265.5
2020,53,84.04,117.31,12.4,10.88,17.31,6.44,7.75,82.81,2.38,97.12,4.66,8.14,2.57,5.57,296.38
2020,54,57.51,119.73,7.16,6.47,10.44,3.98,5.31,80.5,3.12,95.84,6.5,8.01,5.46,2.54,279.31
2020,55,70.88,117.23,5.11,3.61,7.04,3.43,4.88,85.62,3.82,95.88,7.74,9.43,5.9,3.53,247.56
2020,56,51.77,113.66,7.01,5.11,9.09,3.98,5.98,91.5,5.35,96.54,4.87,6.32,3.1,3.22,248.06
2020,57,64.7,113.99,8.73,5.87,11.47,5.6,6.47,88.19,2.38,95.94,6.81,9.04,5.05,3.98,260.19
2020,58,70.87,113.35,6.58,3.38,8.69,5.31,5.31,84.69,4.85,96.24,8.79,10.77,6.57,4.2,254.0
2020,59,78.18,110.46,7.44,4.62,10.25,5.63,5.55,84.0,1.31,97.16,5.52,7.57,2.43,5.13,263.94
2020,60,52.31,109.45,10.23,8.08,14.01,5.94,7.08,87.56,2.61,96.61,4.41,6.38,2.55,3.84,305.12
